Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
47	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	22752.473108	22738.232706	106765	62	72	186	0.960439	0.991859	0.901632	70.9618	843.367	1.91025	72	316.885712	317.135742	0.850022	0.850022	0.019264
48	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	22967.399959	22953.048671	212939	40	54	249	0.940621	0.985474	0.858436	69.2794	388.518	2.86264	49	469.538422	469.944885	0.693877	0.693877	0.0433948
49	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	24469.631638	24454.359884	185194	63	80	271	0.970885	0.995774	0.888786	116.784	1690.69	2.48758	80	306.762238	307.000275	0.898451	0.898451	0.0112135
50	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	25008.979656	24993.395456	456792	51	81	527	0.988299	0.998406	0.870361	191.062	4543.38	1.8665	72	348.220734	348.499969	0.950688	0.950688	0
51	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	25142.263305	25126.617404	713983	47	75	543	0.985339	0.993124	0.870048	232.433	1046.95	2.00503	57	441.929657	442.299377	0.914564	0.914564	0.00387666
52	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	25143.250997	25127.605096	704535	47	75	543	0.98868	0.998896	0.881656	420.534	6575.47	1.71446	60	419.900879	420.251617	0.946898	0.946898	0
53	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	25676.665765	25660.604762	139754	30	43	218	0.996145	0.99914	0.803176	1497.45	4609.21	0.873504	43	597.905334	598.394226	0.937735	0.937735	0.000918274
54	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	25685.329473	25669.254402	49355.2	64	66	48	0.879507	0.738096	0.890261	14.4853	17.6343	3.6045	65	395.999512	396.255768	0.152370	0.152370	0.223906
55	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	26123.409649	26107.098110	367455	65	86	423	0.988882	0.996404	0.834246	457.984	2062.34	1.63173	84	311.889435	312.128387	0.925673	0.925673	0.000918274
56	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	26970.728975	26953.891261	551623	43	71	539	0.978358	0.988713	0.750025	192.868	657.766	1.96051	52	519.505249	519.910034	0.884651	0.884651	0.0135614
